,date,ticker,value
233,2021-05-01,RPG,47462
234,2021-05-01,SPHQ,4753
235,2021-05-01,XMMO,179134
236,2021-05-01,XMVM,388926
237,2021-05-01,XSVM,372768
238,2021-05-01,BSJO,404
239,2021-05-01,BSCO,4886
240,2021-05-01,BSCP,4494
241,2021-05-01,QQQ,45451
242,2021-05-01,SLV,256361
243,2021-05-01,SHYG,1000
244,2021-05-01,SLQD,52722
245,2021-05-01,STIP,505
246,2021-05-01,TLH,57
247,2021-05-01,SHY,8917
248,2021-05-01,IGSB,19057
249,2021-05-01,IEI,6590
250,2021-05-01,IGIB,550
251,2021-05-01,AGZ,4922
252,2021-05-01,AIA,573
253,2021-05-01,TLT,16248
254,2021-05-01,IEF,46163
255,2021-05-01,ICSH,1047
256,2021-05-01,USIG,121
257,2021-05-01,CMBS,55
258,2021-05-01,ICF,578
259,2021-05-01,ICVT,557
260,2021-05-01,ILTB,21340
261,2021-05-01,ISTB,5267
262,2021-05-01,AOA,31
263,2021-05-01,AOK,1640
264,2021-05-01,DGRO,3907
265,2021-05-01,HDV,367
266,2021-05-01,IAGG,1732
267,2021-05-01,IEFA,58210
268,2021-05-01,IXUS,220
269,2021-05-01,IVV,115365
270,2021-05-01,IJH,8780
271,2021-05-01,IJR,423447
272,2021-05-01,ITOT,10257
273,2021-05-01,IUSG,500
274,2021-05-01,IUSB,1519
275,2021-05-01,AGG,119791
276,2021-05-01,USRT,388
277,2021-05-01,IYW,2540
278,2021-05-01,IYY,9228
279,2021-05-01,IHI,304
280,2021-05-01,ESGU,12433
281,2021-05-01,IGM,181
282,2021-05-01,IGV,69
283,2021-05-01,IOO,695
284,2021-05-01,IXJ,685
285,2021-05-01,IGF,431
286,2021-05-01,IXN,2274
287,2021-05-01,GNMA,1042
288,2021-05-01,HYG,26525
289,2021-05-01,LQD,2574
290,2021-05-01,GVI,262
291,2021-05-01,IDV,945
292,2021-05-01,IGOV,800
293,2021-05-01,IEUR,240
294,2021-05-01,IPAC,200
