,Symbols
1265,MBCN
1266,MAYS
1267,MASS
1268,MAPS
1269,MAIA
1270,MACK
1271,LYTS
1272,LYRA
1273,LYLT
1274,LXRX
1275,LXFR
1276,LWAY
1277,LVOX
1278,LVLU
1279,LUNG
1280,LUNA
1281,LUMO
1282,LUCD
1283,LTRY
1284,LTRX
1285,LTRPA
1286,LTRN
1287,LTCH
1288,LTBR
1289,LSEA
1290,LSBK
1291,LRMR
1292,LQDT
1293,LQDA
1294,LPTX
1295,LPTH
1296,LPG
1297,LPCN
1298,LOVE
1299,LODE
1300,LOCO
1301,LOCL
1302,LOAN
1303,LNSR
1304,LMST
1305,LMNR
1306,LMB
1307,LMAT
1308,LLAP
1309,LL
1310,LIVE
1311,LINK
1312,LIND
1313,LINC
1314,LIFE
1315,LIDR
1316,LHDX
1317,LGVN
1318,LGL
1319,LFVN
1320,LFT
1321,LFMD
1322,LFLY
1323,LFCR
1324,LEU
1325,LEGH
1326,LEE
1327,LE
1328,LCUT
1329,LCTX
1330,LCNB
1331,LBPH
1332,LBC
1333,LBAI
1334,LAZY
1335,LASR
1336,LARK
1337,LAND
1338,LAKE
1339,LABP
1340,LAB
1341,KZR
1342,KVHI
1343,KULR
1344,KTCC
1345,KRUS
1346,KRT
1347,KROS
1348,KRON
1349,KRMD
1350,KPTI
1351,KPLT
1352,KOSS
1353,KORE
1354,KOPN
1355,KOP
1356,KODK
1357,KOD
1358,KNTE
1359,KNSA
1360,KMPH
1361,KLXE
1362,KLTR
1363,KLR
1364,KIRK
1365,KINS
1366,KIDS
1367,KFS
1368,KFFB
1369,KEQU
1370,KELYA
1371,KE
1372,KDNY
1373,KBAL
1374,KALV
1375,JYNT
1376,JSPR
1377,JRSH
1378,JOUT
1379,JOAN
1380,JNCE
1381,JMSB
1382,JILL
1383,JANX
1384,JAKK
1385,IZEA
1386,IVVD
1387,IVR
1388,IVC
1389,IVAC
1390,ITOS
1391,ITIC
1392,ITI
1393,ISUN
1394,ISTR
1395,ISSC
1396,ISPO
1397,ISO
1398,ISDR
1399,IRON
1400,IRNT
1401,IRMD
1402,IRIX
1403,IPWR
1404,IPW
1405,IPSC
1406,IPI
1407,IOR
1408,INZY
1409,INVE
1410,INTZ
1411,INTT
1412,INTG
1413,INSW
1414,INSG
1415,INSE
1416,INOD
1417,INO
1418,INMB
1419,INKT
1420,INGN
1421,INFU
1422,INDT
1423,INDI
1424,INBX
1425,INBK
1426,INAB
1427,IMXI
1428,IMVT
1429,IMUX
1430,IMRX
1431,IMRA
1432,IMPL
1433,IMNM
1434,IMMR
1435,IMGN
1436,IMBI
1437,IKNA
1438,IIIV
1439,IIIN
1440,III
1441,IGMS
1442,IESC
1443,IE
1444,IDYA
1445,IDT
1446,IDR
1447,IDN
1448,IDAI
1449,ID
1450,ICVX
1451,ICPT
1452,ICHR
1453,ICD
1454,ICCH
1455,ICCC
1456,ICAD
1457,IBEX
